product_id,product_name,category,price,date,quantity_sold,stock_remaining,day_of_week,is_weekend,month,week_of_year
1,Платье вечернее «Лаванда»,Платья,7354.0,2025-10-01,5,87,2,0,10,40
1,Платье вечернее «Лаванда»,Платья,7354.0,2025-10-02,0,87,3,0,10,40
1,Платье вечернее «Лаванда»,Платья,7354.0,2025-10-03,3,84,4,0,10,40
1,Платье вечернее «Лаванда»,Платья,7354.0,2025-10-04,4,80,5,1,10,40
1,Платье вечернее «Лаванда»,Платья,7354.0,2025-10-05,5,75,6,1,10,40
1,Платье вечернее «Лаванда»,Платья,7354.0,2025-10-06,4,71,0,0,10,41
1,Платье вечернее «Лаванда»,Платья,7354.0,2025-10-07,2,69,1,0,10,41
1,Платье вечернее «Лаванда»,Платья,7354.0,2025-10-08,2,67,2,0,10,41
1,Платье вечернее «Лаванда»,Платья,7354.0,2025-10-09,6,61,3,0,10,41
1,Платье вечернее «Лаванда»,Платья,7354.0,2025-10-10,2,59,4,0,10,41
1,Платье вечернее «Лаванда»,Платья,7354.0,2025-10-11,4,55,5,1,10,41
1,Платье вечернее «Лаванда»,Платья,7354.0,2025-10-12,8,47,6,1,10,41
1,Платье вечернее «Лаванда»,Платья,7354.0,2025-10-13,1,46,0,0,10,42
1,Платье вечернее «Лаванда»,Платья,7354.0,2025-10-14,2,44,1,0,10,42
1,Платье вечернее «Лаванда»,Платья,7354.0,2025-10-15,4,40,2,0,10,42
1,Платье вечернее «Лаванда»,Платья,7354.0,2025-10-16,4,36,3,0,10,42
1,Платье вечернее «Лаванда»,Платья,7354.0,2025-10-17,0,36,4,0,10,42
1,Платье вечернее «Лаванда»,Платья,7354.0,2025-10-18,6,30,5,1,10,42
1,Платье вечернее «Лаванда»,Платья,7354.0,2025-10-19,3,27,6,1,10,42
1,Платье вечернее «Лаванда»,Платья,7354.0,2025-10-20,5,22,0,0,10,43
1,Платье вечернее «Лаванда»,Платья,7354.0,2025-10-21,5,17,1,0,10,43
1,Платье вечернее «Лаванда»,Платья,7354.0,2025-10-22,2,15,2,0,10,43
1,Платье вечернее «Лаванда»,Платья,7354.0,2025-10-23,1,14,3,0,10,43
1,Платье вечернее «Лаванда»,Платья,7354.0,2025-10-24,5,75,4,0,10,43
1,Платье вечернее «Лаванда»,Платья,7354.0,2025-10-25,3,72,5,1,10,43
1,Платье вечернее «Лаванда»,Платья,7354.0,2025-10-26,6,66,6,1,10,43
1,Платье вечернее «Лаванда»,Платья,7354.0,2025-10-27,5,61,0,0,10,44
1,Платье вечернее «Лаванда»,Платья,7354.0,2025-10-28,4,57,1,0,10,44
1,Платье вечернее «Лаванда»,Платья,7354.0,2025-10-29,3,54,2,0,10,44
1,Платье вечернее «Лаванда»,Платья,7354.0,2025-10-30,8,46,3,0,10,44
1,Платье вечернее «Лаванда»,Платья,7354.0,2025-10-31,2,44,4,0,10,44
1,Платье вечернее «Лаванда»,Платья,7354.0,2025-11-01,3,41,5,1,11,44
1,Платье вечернее «Лаванда»,Платья,7354.0,2025-11-02,6,35,6,1,11,44
1,Платье вечернее «Лаванда»,Платья,7354.0,2025-11-03,4,31,0,0,11,45
1,Платье вечернее «Лаванда»,Платья,7354.0,2025-11-04,3,28,1,0,11,45
1,Платье вечернее «Лаванда»,Платья,7354.0,2025-11-05,2,26,2,0,11,45
1,Платье вечернее «Лаванда»,Платья,7354.0,2025-11-06,3,23,3,0,11,45
